YYYY,MM,시군구,번지,단지명,area_x,price,floor,birth_year,도로명,age_c,join_key,지역,구,법정동,아파트이름,code,area_y,room,toilet,세대수,건물수,y_c,park,per_park,heat,용적률,건폐율,f_high,f_low,LotAdr,RoadAdr,lati,long
2017.0,3.0,서울특별시 강동구 둔촌동,170-1,둔촌주공1단지,50.84,77500.0,3.0,1980.0,양재대로,37.0,서울시 강동구 둔촌동 170-1 50.84,서울특별시,강동구,둔촌동,주공저층1단지,1299.0,50.84,2.0,1.0,1370.0,47.0,1980.0,959.0,0.7,중앙난방,,,5.0,5.0,서울시 강동구 둔촌동 170-1,서울시 강동구 양재대로 1340,37.52732,127.139752
2010.0,12.0,서울특별시 성북구 석관동,10,두산,84.9,38000.0,19.0,1998.0,화랑로48길,12.0,서울시 성북구 석관동 10 84.9,서울특별시,성북구,석관동,두산,1183.0,84.9,3.0,2.0,1998.0,25.0,1998.0,2195.0,1.09,개별난방,277.0,17.0,25.0,16.0,서울시 성북구 석관동 10,서울시 성북구 화랑로48길 16,37.613145,127.068573
2013.0,1.0,서울특별시 중랑구 신내동,317,데시앙,114.48,51800.0,6.0,2010.0,용마산로,3.0,서울시 중랑구 신내동 317 114.48,서울특별시,중랑구,신내동,데시앙,100653.0,114.48,4.0,2.0,1326.0,15.0,2010.0,1525.0,1.15,지역난방,178.0,16.0,15.0,11.0,서울시 중랑구 신내동 317,서울시 중랑구 용마산로 669,37.611298,127.099925
2016.0,2.0,서울특별시 동대문구 답십리동,10,동아,84.72,35500.0,1.0,2001.0,한천로11길,15.0,서울시 동대문구 답십리동 10 84.72,서울특별시,동대문구,답십리동,동아,3270.0,84.72,3.0,2.0,741.0,7.0,2001.0,838.0,1.13,개별난방,328.0,23.0,23.0,15.0,서울시 동대문구 답십리동 10,서울시 동대문구 한천로11길 10-1,37.569266,127.06186399999999
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.741296096311803,2.0,,,,,,,,,,,,,,
2012.0,8.0,서울특별시 강북구 수유동,205,수유벽산1차,122.58,40000.0,10.0,1993.0,삼각산로,19.0,서울시 강북구 수유동 205 122.58,서울특별시,강북구,수유동,수유벽산1차,1344.0,122.58,4.0,2.0,1454.0,13.0,1993.0,878.0,0.6,중앙난방,233.0,21.0,15.0,9.0,서울시 강북구 수유동 205,서울시 강북구 삼각산로 143-1,37.642336,127.019349
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.741296096311803,2.0,,,,,,,,,,,,,,
2013.0,8.0,서울특별시 영등포구 당산동2가,16-1,대우,45.55,24000.0,22.0,1999.0,영등포로,14.0,서울시 영등포구 당산동2가 16-1 45.55,서울특별시,영등포구,당산동2가,대우,10169.0,45.55,1.0,1.0,536.0,2.0,1999.0,583.0,1.08,중앙난방,399.0,38.0,25.0,21.0,서울시 영등포구 당산동2가 16-1,서울시 영등포구 영등포로 106,37.521316999999996,126.89281899999999
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.741296096311803,2.0,,,,,,,,,,,,,,
2017.0,2.0,서울특별시 강북구 번동,470-1,삼성,84.96,34000.0,2.0,1998.0,도봉로98길,19.0,서울시 강북구 번동 470-1 84.96,서울특별시,강북구,번동,삼성,3131.0,84.96,3.0,2.0,228.0,1.0,1998.0,202.0,0.88,개별난방,348.0,28.0,19.0,19.0,서울시 강북구 번동 470-1,서울시 강북구 도봉로98길 33,37.641465999999994,127.031824
2016.0,5.0,서울특별시 영등포구 신길동,897-1,삼환,84.84,48000.0,19.0,1997.0,여의대방로43나길,19.0,서울시 영등포구 신길동 897-1 84.84,서울특별시,영등포구,신길동,삼환,719.0,84.84,3.0,2.0,1174.0,11.0,1997.0,1104.0,0.94,중앙난방,246.0,16.0,25.0,18.0,서울시 영등포구 신길동 897-1,서울시 영등포구 여의대방로43라길 9,37.507298999999996,126.91926699999999
2014.0,12.0,서울특별시 성동구 하왕십리동,1052,금호베스트빌,114.73,42000.0,16.0,2001.0,난계로,13.0,서울시 성동구 하왕십리동 1052 114.73,서울특별시,성동구,하왕십리동,금호베스트빌,3532.0,114.73,4.0,2.0,458.0,6.0,2001.0,531.0,1.15,개별난방,318.0,23.0,24.0,9.0,서울시 성동구 하왕십리동 1052,서울시 성동구 난계로 114-31,37.561640999999995,127.02596499999999
2019.0,10.0,서울특별시 영등포구 문래동3가,54,문래자이,121.53,125000.0,11.0,2001.0,당산로4길 12,18.0,서울시 영등포구 문래동3가 54 121.53,서울특별시,영등포구,문래동3가,문래자이,3452.0,121.53,4.0,2.0,1302.0,18.0,2001.0,2040.0,1.56,개별난방,249.0,15.0,25.0,20.0,서울시 영등포구 문래동3가 54,서울시 영등포구 당산로4길 12,37.516408,126.89686200000001
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.741296096311803,2.0,,,,,,,,,,,,,,
2012.0,4.0,서울특별시 동대문구 이문동,429,대성 유니드아파트,84.27,41263.0,14.0,2012.0,한천로58길,0.0,서울시 동대문구 이문동 429 84.27,서울특별시,동대문구,이문동,이문대성유니드,102311.0,84.27,3.0,2.0,88.0,2.0,2012.0,101.0,1.14,개별난방,193.0,27.0,15.0,7.0,서울시 동대문구 이문동 429,,37.603376000000004,127.07051799999999
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.741296096311803,2.0,,,,,,,,,,,,,,
2017.0,5.0,서울특별시 송파구 신천동,17,파크리오,84.97,112500.0,27.0,2008.0,올림픽로,9.0,서울시 송파구 신천동 17 84.97,서울특별시,송파구,신천동,파크리오,22675.0,84.97,3.0,2.0,6864.0,66.0,2008.0,9766.0,1.42,지역난방,283.0,14.0,36.0,20.0,서울시 송파구 신천동 17,서울시 송파구 올림픽로 435,37.521278,127.108677
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.741296096311803,2.0,,,,,,,,,,,,,,
