Country or region,Score,GDP per capita,Social support,Healthy life expectancy
Finland,7.769,1.34,1.587,0.986
Denmark,7.6,1.383,1.573,0.996
Norway,7.554,1.488,1.582,1.028
Iceland,7.494,1.38,1.624,1.026
Netherlands,7.488,1.396,1.522,0.999
Switzerland,7.48,1.452,1.526,1.052
Sweden,7.343,1.387,1.487,1.009
New Zealand,7.307,1.303,1.557,1.026
Canada,7.278,1.365,1.505,1.039
Austria,7.246,1.376,1.475,1.016
Australia,7.228,1.372,1.548,1.036
Costa Rica,7.167,1.034,1.441,0.963
Israel,7.139,1.276,1.455,1.029
Luxembourg,7.09,1.609,1.479,1.012
United Kingdom,7.054,1.333,1.538,0.996
Ireland,7.021,1.499,1.553,0.999
Germany,6.985,1.373,1.454,0.987
Belgium,6.923,1.356,1.504,0.986
United States,6.892,1.433,1.457,0.874
Czech Republic,6.852,1.269,1.487,0.92
United Arab Emirates,6.825,1.503,1.31,0.825
Malta,6.726,1.3,1.52,0.999
Mexico,6.595,1.07,1.323,0.861
France,6.592,1.324,1.472,1.045
Taiwan,6.446,1.368,1.43,0.914
Chile,6.444,1.159,1.369,0.92
Guatemala,6.436,0.8,1.269,0.746
Saudi Arabia,6.375,1.403,1.357,0.795
Qatar,6.374,1.684,1.313,0.871
Spain,6.354,1.286,1.484,1.062
Panama,6.321,1.149,1.442,0.91
Brazil,6.3,1.004,1.439,0.802
Uruguay,6.293,1.124,1.465,0.891
Singapore,6.262,1.572,1.463,1.141
El Salvador,6.253,0.794,1.242,0.789
Italy,6.223,1.294,1.488,1.039
Bahrain,6.199,1.362,1.368,0.871
Slovakia,6.198,1.246,1.504,0.881
Trinidad & Tobago,6.192,1.231,1.477,0.713
Poland,6.182,1.206,1.438,0.884
Uzbekistan,6.174,0.745,1.529,0.756
Lithuania,6.149,1.238,1.515,0.818
Colombia,6.125,0.985,1.41,0.841
Slovenia,6.118,1.258,1.523,0.953
Nicaragua,6.105,0.694,1.325,0.835
Kosovo,6.1,0.882,1.232,0.758
Argentina,6.086,1.092,1.432,0.881
Romania,6.07,1.162,1.232,0.825
Cyprus,6.046,1.263,1.223,1.042
Ecuador,6.028,0.912,1.312,0.868
Kuwait,6.021,1.5,1.319,0.808
Thailand,6.008,1.05,1.409,0.828
Latvia,5.94,1.187,1.465,0.812
South Korea,5.895,1.301,1.219,1.036
Estonia,5.893,1.237,1.528,0.874
Jamaica,5.89,0.831,1.478,0.831
Mauritius,5.888,1.12,1.402,0.798
Japan,5.886,1.327,1.419,1.088
Honduras,5.86,0.642,1.236,0.828
Kazakhstan,5.809,1.173,1.508,0.729
Bolivia,5.779,0.776,1.209,0.706
Hungary,5.758,1.201,1.41,0.828
Paraguay,5.743,0.855,1.475,0.777
Northern Cyprus,5.718,1.263,1.252,1.042
Peru,5.697,0.96,1.274,0.854
Portugal,5.693,1.221,1.431,0.999
Pakistan,5.653,0.677,0.886,0.535
Russia,5.648,1.183,1.452,0.726
Philippines,5.631,0.807,1.293,0.657
Serbia,5.603,1.004,1.383,0.854
Moldova,5.529,0.685,1.328,0.739
Libya,5.525,1.044,1.303,0.673
Montenegro,5.523,1.051,1.361,0.871
Tajikistan,5.467,0.493,1.098,0.718
Croatia,5.432,1.155,1.266,0.914
Hong Kong,5.43,1.438,1.277,1.122
Dominican Republic,5.425,1.015,1.401,0.779
Bosnia and Herzegovina,5.386,0.945,1.212,0.845
Turkey,5.373,1.183,1.36,0.808
Malaysia,5.339,1.221,1.171,0.828
Belarus,5.323,1.067,1.465,0.789
Greece,5.287,1.181,1.156,0.999
Mongolia,5.285,0.948,1.531,0.667
North Macedonia,5.274,0.983,1.294,0.838
Nigeria,5.265,0.696,1.111,0.245
Kyrgyzstan,5.261,0.551,1.438,0.723
Turkmenistan,5.247,1.052,1.538,0.657
Algeria,5.211,1.002,1.16,0.785
Morocco,5.208,0.801,0.782,0.782
Azerbaijan,5.208,1.043,1.147,0.769
Lebanon,5.197,0.987,1.224,0.815
Indonesia,5.192,0.931,1.203,0.66
China,5.191,1.029,1.125,0.893
Vietnam,5.175,0.741,1.346,0.851
Bhutan,5.082,0.813,1.321,0.604
Cameroon,5.044,0.549,0.91,0.331
Bulgaria,5.011,1.092,1.513,0.815
Ghana,4.996,0.611,0.868,0.486
Ivory Coast,4.944,0.569,0.808,0.232
Nepal,4.913,0.446,1.226,0.677
Jordan,4.906,0.837,1.225,0.815
Benin,4.883,0.393,0.437,0.397
Congo (Brazzaville),4.812,0.673,0.799,0.508
Gabon,4.799,1.057,1.183,0.571
Laos,4.796,0.764,1.03,0.551
