Country or region,Freedom to make life choices,Generosity,Perceptions of corruption,Score,GDP per capita,Social support,Healthy life expectancy,Overall rank
Moldova,0.245,0.181,0,5.529,0.685,1.328,0.739,71
Libya,0.416,0.133,0.152,5.525,1.044,1.303,0.673,72
Montenegro,0.197,0.142,0.08,5.523,1.051,1.361,0.871,73
Tajikistan,0.389,0.23,0.144,5.467,0.493,1.098,0.718,74
Croatia,0.296,0.119,0.022,5.432,1.155,1.266,0.914,75
Hong Kong,0.44,0.258,0.287,5.43,1.438,1.277,1.122,76
Dominican Republic,0.497,0.113,0.101,5.425,1.015,1.401,0.779,77
Bosnia and Herzegovina,0.212,0.263,0.006,5.386,0.945,1.212,0.845,78
Turkey,0.195,0.083,0.106,5.373,1.183,1.36,0.808,79
Malaysia,0.508,0.26,0.024,5.339,1.221,1.171,0.828,80
Belarus,0.235,0.094,0.142,5.323,1.067,1.465,0.789,81
Greece,0.067,0,0.034,5.287,1.181,1.156,0.999,82
Mongolia,0.317,0.235,0.038,5.285,0.948,1.531,0.667,83
North Macedonia,0.345,0.185,0.034,5.274,0.983,1.294,0.838,84
Nigeria,0.426,0.215,0.041,5.265,0.696,1.111,0.245,85
Kyrgyzstan,0.508,0.3,0.023,5.261,0.551,1.438,0.723,86
Turkmenistan,0.394,0.244,0.028,5.247,1.052,1.538,0.657,87
Algeria,0.086,0.073,0.114,5.211,1.002,1.16,0.785,88
Morocco,0.418,0.036,0.076,5.208,0.801,0.782,0.782,89
Azerbaijan,0.351,0.035,0.182,5.208,1.043,1.147,0.769,90
Lebanon,0.216,0.166,0.027,5.197,0.987,1.224,0.815,91
Indonesia,0.491,0.498,0.028,5.192,0.931,1.203,0.66,92
China,0.521,0.058,0.1,5.191,1.029,1.125,0.893,93
Vietnam,0.543,0.147,0.073,5.175,0.741,1.346,0.851,94
Bhutan,0.457,0.37,0.167,5.082,0.813,1.321,0.604,95
Cameroon,0.381,0.187,0.037,5.044,0.549,0.91,0.331,96
Bulgaria,0.311,0.081,0.004,5.011,1.092,1.513,0.815,97
Ghana,0.381,0.245,0.04,4.996,0.611,0.868,0.486,98
Ivory Coast,0.352,0.154,0.09,4.944,0.569,0.808,0.232,99
Nepal,0.439,0.285,0.089,4.913,0.446,1.226,0.677,100
Jordan,0.383,0.11,0.13,4.906,0.837,1.225,0.815,101
Benin,0.349,0.175,0.082,4.883,0.393,0.437,0.397,102
Congo (Brazzaville),0.372,0.105,0.093,4.812,0.673,0.799,0.508,103
Gabon,0.295,0.043,0.055,4.799,1.057,1.183,0.571,104
Laos,0.547,0.266,0.164,4.796,0.764,1.03,0.551,105
South Africa,0.389,0.13,0.055,4.722,0.96,1.351,0.469,106
Albania,0.383,0.178,0.027,4.719,0.947,0.848,0.874,107
Venezuela,0.154,0.064,0.047,4.707,0.96,1.427,0.805,108
Cambodia,0.609,0.232,0.062,4.7,0.574,1.122,0.637,109
